
metadata
ID,name,desc,time,keywords,minlat,minlon,maxlat,maxlon,
1,,,2021-06-09T17:10:32Z,,18.235888900235295,-72.070938879624009,18.359999991953373,-71.976383300498128,

author
ID,name,email,

copyright
year,license,author,

link
metadataID,authorID,wptID,rteptID,trkptID,rteID,trkID,text,type,href,
1,,,,,,,"Garmin International",,http://www.garmin.com,

rte
ID,name,cmt,desc,src,number,type,IsAutoNamed,DisplayColor,TransportationMode,TripName,Date,DayNumber,

rtept
ID,rteID,lat,lon,ele,time,magvar,geoidheight,name,cmt,desc,src,sym,type,fix,sat,hdop,vdop,pdop,ageofdgpsdata,dgpsid,DepartureTime,StopDuration,ArrivalTime,CalculationMode,ElevationMode,NamedRoad_Name,NamedRoad_Id,NamedRoad_ProductId,TransportationMode,

wpt
ID,lat,lon,ele,time,magvar,geoidheight,name,cmt,desc,src,sym,type,fix,sat,hdop,vdop,pdop,ageofdgpsdata,dgpsid,Proximity,Temperature,Depth,DisplayMode,Samples,Expiration,CreationTime,
22,18.264556936919689,-72.04907082952559,-0.1143798828125,2021-06-09T16:58:39Z,,,"Path","Path","Path",,"Flag, Blue","user",,,,,,,,,,,SymbolAndName,,,2021-06-09T16:58:39Z,
23,18.3237533736974,-72.044589444994926,-0.1143798828125,2021-06-09T16:58:39Z,,,"Path End (Aprx","Path End (Aprx)","Path End (Aprx)",,"Flag, Blue","user",,,,,,,,,,,SymbolAndName,,,2021-06-09T16:58:39Z,
24,18.258473183959723,-72.04856850206852,-0.1143798828125,2021-06-09T16:58:39Z,,,"Pathway Meetup","Pathway Meetup","Pathway Meetup",,"Flag, Blue","user",,,,,,,,,,,SymbolAndName,,,2021-06-09T16:58:39Z,
25,18.342566471546888,-72.055719355121255,1988.1171875,2021-06-09T16:58:39Z,,,"Pic start","09-DEC-12 2:22:39PM","09-DEC-12 2:22:39PM",,"Flag, Blue","user",,,,,,,,,,,SymbolAndName,,,2021-06-09T16:58:39Z,
26,18.359999991953373,-71.976383300498128,1990.7607421875,2021-06-09T16:58:39Z,,,"Piclaselle","09-DEC-12 5:12:33PM","09-DEC-12 5:12:33PM",,"Flag, Blue","user",,,,,,,,,,,SymbolAndName,,,2021-06-09T16:58:39Z,
27,18.261531740427017,-72.052635569125414,417.5751953125,2021-06-09T16:58:39Z,,,"Pics1","09-DEC-12 6:03:38AM","09-DEC-12 6:03:38AM",,"Flag, Blue","user",,,,,,,,,,,SymbolAndName,,,2021-06-09T16:58:39Z,
28,18.325086096301675,-72.06656469963491,1622.33837890625,2021-06-09T16:58:39Z,,,"Rest","09-DEC-12 12:05:57PM","09-DEC-12 12:05:57PM",,"Flag, Blue","user",,,,,,,,,,,SymbolAndName,,,2021-06-09T16:58:39Z,
29,18.24184357188642,-72.066460009664297,-0.1143798828125,2021-06-09T16:58:39Z,,,"Road Start Bel","Road Start Belle Anse","Road Start Belle Anse",,"Flag, Blue","user",,,,,,,,,,,SymbolAndName,,,2021-06-09T16:58:39Z,
30,18.296137433499098,-72.051752116531134,1050.8388671875,2021-06-09T16:58:39Z,,,"Short To Ls","09-DEC-12 9:10:20AM","09-DEC-12 9:10:20AM",,"Flag, Blue","user",,,,,,,,,,,SymbolAndName,,,2021-06-09T16:58:39Z,
31,18.248473154380918,-72.057796306908131,-0.1143798828125,2021-06-09T16:58:39Z,,,"Shortcut","Shortcut","Shortcut",,"Flag, Blue","user",,,,,,,,,,,SymbolAndName,,,2021-06-09T16:58:39Z,
