Latitude,Longitude,Elevation
47.82778000,-123.080930,1129.0
47.82781000,-123.081190,1132.0
47.82784000,-123.081580,1138.0
47.82787000,-123.082270,1145.0
47.82785000,-123.082600,1148.0
47.82785000,-123.082740,1149.0
47.82780000,-123.082870,1150.0
47.82776000,-123.083130,1155.0
47.82769000,-123.083260,1157.0
47.82759000,-123.083290,1157.0
47.82748000,-123.083300,1156.0
47.82737000,-123.083360,1156.0
47.82734000,-123.083500,1157.0
47.82731000,-123.083740,1159.0
47.82728000,-123.084040,1162.0
47.82717000,-123.084320,1166.0
47.82705000,-123.084600,1171.0
47.82699000,-123.084870,1174.0
47.82699000,-123.085060,1175.0
47.82706000,-123.085330,1176.0
47.82709000,-123.085600,1177.0
47.82709000,-123.085710,1177.0
47.82710000,-123.085910,1179.0
47.82698000,-123.086190,1180.0
47.82692000,-123.086330,1182.0
47.82675000,-123.086430,1184.0
47.82649000,-123.086580,1188.0
47.82641000,-123.086700,1191.0
47.82629000,-123.086830,1194.0
47.82615000,-123.086980,1196.0
47.82606000,-123.087120,1196.0
47.82596000,-123.087280,1197.0
47.82589000,-123.087330,1198.0
47.82584000,-123.087260,1196.0
47.82580000,-123.087200,1195.0
47.82573000,-123.087220,1196.0
47.82558000,-123.087330,1199.0
47.82547000,-123.087460,1201.0
47.82534000,-123.087750,1203.0
47.82523000,-123.088020,1203.0
47.82519000,-123.088630,1209.0
47.82515000,-123.088840,1212.0
47.82514000,-123.088970,1214.0
47.82517000,-123.089120,1216.0
47.82524000,-123.089240,1218.0
47.82537000,-123.089410,1222.0
47.82555000,-123.089520,1226.0
47.82571000,-123.089570,1227.0
47.82583000,-123.089730,1231.0
47.82590000,-123.089880,1233.0
47.82601000,-123.090140,1238.0
47.82608000,-123.090280,1241.0
47.82613000,-123.090400,1244.0
47.82609000,-123.090930,1251.0
47.82609000,-123.091070,1254.0
47.82608000,-123.091150,1256.0
47.82597000,-123.091520,1264.0
47.82588000,-123.091670,1264.0
47.82580000,-123.091830,1266.0
47.82563000,-123.092050,1266.0
47.82552000,-123.092180,1268.0
47.82525000,-123.092530,1270.0
47.82516000,-123.092700,1273.0
47.82504000,-123.092980,1278.0
47.82491000,-123.093110,1278.0
47.82483000,-123.093230,1280.0
47.82466000,-123.093420,1282.0
47.82454000,-123.093580,1286.0
47.82445000,-123.093680,1287.0
47.82431000,-123.093970,1292.0
47.82424000,-123.094170,1295.0
47.82419000,-123.094300,1296.0
47.82413000,-123.094580,1300.0
47.82408000,-123.094790,1303.0
47.82401000,-123.094990,1304.0
47.82395000,-123.095150,1306.0
47.82387000,-123.095440,1308.0
47.82375000,-123.095880,1315.0
47.82366000,-123.096070,1319.0
47.82360000,-123.096250,1325.0
47.82354000,-123.096370,1327.0
47.82346000,-123.096530,1327.0
47.82336000,-123.096800,1329.0
47.82329000,-123.096950,1328.0
47.82323000,-123.097080,1328.0
47.82319000,-123.097240,1330.0
47.82318000,-123.097690,1341.0
47.82317000,-123.097970,1345.0
47.82316000,-123.098210,1350.0
47.82314000,-123.098400,1354.0
47.82312000,-123.098550,1357.0
47.82310000,-123.098690,1359.0
47.82302000,-123.098980,1362.0
47.82292000,-123.099170,1361.0
47.82286000,-123.099290,1362.0
47.82283000,-123.099440,1364.0
47.82279000,-123.099640,1371.0
47.82274000,-123.099770,1373.0
47.82270000,-123.099930,1375.0
47.82265000,-123.100110,1377.0
47.82261000,-123.100280,1380.0
47.82256000,-123.100650,1386.0
47.82253000,-123.100910,1390.0
47.82244000,-123.101290,1394.0
47.82238000,-123.101470,1394.0
47.82229000,-123.101890,1396.0
47.82219000,-123.102200,1400.0
47.82212000,-123.102450,1408.0
47.82201000,-123.102610,1407.0
47.82189000,-123.102730,1405.0
47.82178000,-123.102950,1406.0
47.82170000,-123.103170,1407.0
47.82166000,-123.103420,1410.0
47.82164000,-123.103710,1417.0
47.82164000,-123.103980,1424.0
47.82166000,-123.104350,1432.0
47.82166000,-123.104480,1433.0
47.82165000,-123.104630,1435.0
47.82163000,-123.104870,1438.0
47.82160000,-123.105110,1439.0
47.82156000,-123.105340,1439.0
47.82150000,-123.105590,1441.0
47.82142000,-123.105840,1440.0
47.82138000,-123.106090,1442.0
47.82135000,-123.106310,1443.0
47.82133000,-123.106530,1443.0
47.82133000,-123.106950,1447.0
47.82135000,-123.107350,1456.0
47.82135000,-123.107630,1461.0
47.82135000,-123.107990,1468.0
47.82134000,-123.108230,1470.0
47.82132000,-123.108550,1474.0
47.82133000,-123.108740,1477.0
47.82132000,-123.108990,1480.0
47.82131000,-123.109180,1482.0
47.82130000,-123.109390,1483.0
47.82127000,-123.109610,1485.0
47.82121000,-123.109840,1486.0
47.82113000,-123.110210,1489.0
47.82108000,-123.110410,1491.0
47.82106000,-123.110640,1494.0
47.82103000,-123.110940,1496.0
47.82102000,-123.111080,1497.0
47.82105000,-123.111520,1506.0
47.82103000,-123.111870,1511.0
47.82101000,-123.112100,1514.0
47.82097000,-123.112390,1515.0
47.82089000,-123.112720,1518.0
47.82083000,-123.113070,1529.0
47.82077000,-123.113200,1526.0
47.82069000,-123.113340,1522.0
47.82060000,-123.113620,1522.0
47.82054000,-123.113940,1526.0
47.82050000,-123.114100,1527.0
47.82047000,-123.114190,1527.0
47.82045000,-123.114310,1528.0
47.82044000,-123.114460,1530.0
47.82041000,-123.114630,1533.0
47.82036000,-123.114790,1535.0
47.82028000,-123.115020,1538.0
47.82017000,-123.115150,1535.0
47.81998000,-123.115740,1546.0
47.81993000,-123.116020,1554.0
47.81986000,-123.116150,1554.0
47.81976000,-123.116330,1556.0
47.81969000,-123.116480,1560.0
47.81958000,-123.116640,1563.0
47.81949000,-123.116870,1568.0
47.81937000,-123.117140,1573.0
47.81931000,-123.117260,1574.0
47.81918000,-123.117560,1574.0
47.81914000,-123.117660,1573.0
47.81911000,-123.117760,1572.0
47.81909000,-123.118030,1575.0
47.81907000,-123.118230,1579.0
47.81906000,-123.118440,1586.0
47.81902000,-123.118560,1589.0
47.81889000,-123.118800,1590.0
47.81878000,-123.118940,1590.0
47.81867000,-123.119090,1591.0
47.81856000,-123.119410,1597.0
47.81849000,-123.119600,1598.0
47.81845000,-123.119830,1604.0
47.81841000,-123.120000,1611.0
47.81835000,-123.120180,1618.0
47.81826000,-123.120370,1624.0
47.81816000,-123.120640,1631.0
47.81809000,-123.120800,1633.0
47.81804000,-123.121030,1635.0
47.81802000,-123.121250,1637.0
47.81798000,-123.121600,1642.0
47.81793000,-123.121720,1642.0
47.81783000,-123.122110,1650.0
47.81778000,-123.122210,1651.0
47.81776000,-123.122550,1656.0
47.81775000,-123.122700,1657.0
47.81766000,-123.122860,1656.0
47.81750000,-123.122850,1651.0
47.81742000,-123.122770,1649.0
47.81732000,-123.122760,1647.0
47.81727000,-123.122910,1648.0
47.81724000,-123.123280,1652.0
47.81722000,-123.123570,1656.0
47.81726000,-123.123710,1658.0
47.81728000,-123.123800,1659.0
47.81729000,-123.123900,1660.0
47.81734000,-123.124040,1663.0
47.81740000,-123.124220,1666.0
47.81742000,-123.124370,1668.0
47.81745000,-123.124540,1670.0
47.81747000,-123.124640,1672.0
47.81746000,-123.124770,1673.0
47.81745000,-123.124890,1675.0
47.81745000,-123.125270,1679.0
47.81746000,-123.125430,1680.0
47.81754000,-123.125730,1681.0
47.81758000,-123.125850,1681.0
47.81761000,-123.125920,1682.0
47.81768000,-123.125970,1681.0
47.81774000,-123.126210,1683.0
47.81778000,-123.126580,1690.0
47.81782000,-123.126970,1696.0
47.81784000,-123.127230,1698.0
47.81784000,-123.127480,1701.0
47.81786000,-123.127990,1707.0
47.81790000,-123.128260,1709.0
47.81798000,-123.128560,1711.0
47.81814000,-123.128730,1717.0
47.81821000,-123.128860,1723.0
47.81824000,-123.129050,1729.0
47.81823000,-123.129220,1734.0
47.81814000,-123.129310,1734.0
47.81798000,-123.129400,1733.0
47.81777000,-123.129460,1735.0
47.81766000,-123.129500,1738.0
47.81753000,-123.129520,1741.0
47.81738000,-123.129500,1744.0
47.81726000,-123.129480,1747.0
47.81712000,-123.129430,1750.0
47.81703000,-123.129380,1751.0
47.81703000,-123.129510,1754.0
47.81711000,-123.129620,1755.0
47.81703000,-123.129660,1757.0
47.81699000,-123.129690,1758.0
47.81687000,-123.129790,1762.0
47.81686000,-123.129910,1765.0
47.81695000,-123.129950,1764.0
47.81706000,-123.129960,1763.0
47.81700000,-123.130120,1767.0
47.81689000,-123.130300,1771.0
47.81677000,-123.130480,1775.0
47.81688000,-123.130490,1774.0
47.81695000,-123.130490,1773.0
47.81705000,-123.130450,1773.0
47.81721000,-123.130460,1773.0
47.81746000,-123.130600,1776.0
47.81764000,-123.130600,1778.0
47.81781000,-123.130620,1781.0
47.81793000,-123.130720,1783.0
47.81805000,-123.130850,1786.0
47.81815000,-123.131040,1787.0
47.81820000,-123.131310,1788.0
47.81821000,-123.131520,1790.0
47.81826000,-123.131840,1797.0
47.81827000,-123.132000,1802.0
47.81826000,-123.132180,1806.0
47.81824000,-123.132360,1808.0
47.81824000,-123.132600,1812.0
47.81821000,-123.132820,1814.0
47.81816000,-123.133060,1814.0
47.81810000,-123.133300,1814.0
47.81807000,-123.133390,1813.0
47.81808000,-123.133140,1813.0
47.81810000,-123.132950,1812.0
47.81814000,-123.132730,1810.0
47.81817000,-123.132480,1807.0
47.81821000,-123.132300,1806.0
47.81825000,-123.132120,1804.0
47.81828000,-123.131960,1801.0
47.81824000,-123.131640,1791.0
47.81825000,-123.131440,1789.0
47.81824000,-123.131170,1787.0
47.81819000,-123.130990,1787.0
47.81808000,-123.130850,1787.0
47.81795000,-123.130710,1784.0
47.81777000,-123.130680,1781.0
47.81760000,-123.130690,1778.0
47.81736000,-123.130530,1775.0
47.81715000,-123.130490,1774.0
47.81701000,-123.130520,1774.0
47.81691000,-123.130520,1774.0
47.81676000,-123.130540,1776.0
47.81689000,-123.130440,1773.0
47.81700000,-123.130280,1770.0
47.81709000,-123.130070,1766.0
47.81694000,-123.130020,1765.0
47.81686000,-123.130010,1767.0
47.81684000,-123.129930,1765.0
47.81695000,-123.129810,1761.0
47.81699000,-123.129760,1760.0
47.81706000,-123.129730,1758.0
47.81698000,-123.129600,1757.0
47.81696000,-123.129390,1754.0
47.81702000,-123.129400,1752.0
47.81712000,-123.129470,1751.0
47.81723000,-123.129500,1749.0
47.81738000,-123.129520,1745.0
47.81752000,-123.129520,1741.0
47.81763000,-123.129510,1739.0
47.81783000,-123.129480,1736.0
47.81805000,-123.129440,1735.0
47.81818000,-123.129360,1737.0
47.81823000,-123.129190,1733.0
47.81824000,-123.128990,1727.0
47.81822000,-123.128860,1723.0
47.81810000,-123.128680,1715.0
47.81804000,-123.128370,1709.0
47.81794000,-123.128100,1708.0
47.81790000,-123.127580,1702.0
47.81790000,-123.127330,1699.0
47.81789000,-123.127070,1697.0
47.81787000,-123.126690,1692.0
47.81785000,-123.126330,1685.0
47.81781000,-123.126080,1681.0
47.81774000,-123.126030,1681.0
47.81769000,-123.125970,1681.0
47.81766000,-123.125860,1681.0
47.81753000,-123.125560,1679.0
47.81748000,-123.125400,1679.0
47.81746000,-123.125020,1676.0
47.81746000,-123.124900,1675.0
47.81749000,-123.124770,1673.0
47.81748000,-123.124670,1672.0
47.81746000,-123.124510,1670.0
47.81746000,-123.124360,1668.0
47.81745000,-123.124180,1665.0
47.81740000,-123.124030,1663.0
47.81737000,-123.123930,1661.0
47.81733000,-123.123840,1660.0
47.81725000,-123.123700,1658.0
47.81723000,-123.123420,1654.0
47.81723000,-123.123040,1649.0
47.81725000,-123.122810,1646.0
47.81729000,-123.122800,1647.0
47.81735000,-123.122890,1649.0
47.81751000,-123.122910,1652.0
47.81766000,-123.122790,1655.0
47.81769000,-123.122690,1655.0
47.81771000,-123.122340,1651.0
47.81772000,-123.122220,1650.0
47.81780000,-123.121840,1641.0
47.81785000,-123.121720,1640.0
47.81791000,-123.121370,1636.0
47.81794000,-123.121150,1634.0
47.81798000,-123.120920,1632.0
47.81802000,-123.120760,1629.0
47.81811000,-123.120490,1622.0
47.81821000,-123.120300,1618.0
47.81828000,-123.120120,1610.0
47.81834000,-123.119950,1603.0
47.81838000,-123.119720,1594.0
47.81843000,-123.119530,1593.0
47.81852000,-123.119220,1589.0
47.81863000,-123.119060,1588.0
47.81874000,-123.118920,1587.0
47.81889000,-123.118680,1585.0
47.81898000,-123.118560,1586.0
47.81900000,-123.118360,1580.0
47.81902000,-123.118170,1575.0
47.81904000,-123.117880,1570.0
47.81905000,-123.117780,1569.0
47.81907000,-123.117680,1569.0
47.81916000,-123.117380,1569.0
47.81923000,-123.117260,1570.0
47.81934000,-123.117000,1565.0
47.81944000,-123.116770,1562.0
47.81955000,-123.116600,1559.0
47.81962000,-123.116450,1555.0
47.81973000,-123.116270,1553.0
47.81981000,-123.116140,1552.0
47.81985000,-123.115850,1545.0
47.82001000,-123.115260,1529.0
47.82014000,-123.115140,1533.0
47.82023000,-123.114920,1532.0
47.82029000,-123.114760,1530.0
47.82035000,-123.114590,1529.0
47.82038000,-123.114440,1526.0
47.82040000,-123.114320,1525.0
47.82041000,-123.114230,1524.0
47.82043000,-123.114070,1522.0
47.82047000,-123.113740,1516.0
47.82055000,-123.113460,1514.0
47.82063000,-123.113310,1517.0
47.82069000,-123.113180,1518.0
47.82075000,-123.112830,1512.0
47.82084000,-123.112490,1509.0
47.82092000,-123.112200,1510.0
47.82097000,-123.111980,1509.0
47.82101000,-123.111620,1505.0
47.82099000,-123.111190,1497.0
47.82100000,-123.111050,1495.0
47.82101000,-123.110750,1493.0
47.82101000,-123.110530,1490.0
47.82104000,-123.110320,1487.0
47.82108000,-123.109950,1481.0
47.82115000,-123.109730,1481.0
47.82120000,-123.109510,1480.0
47.82124000,-123.109300,1480.0
47.82126000,-123.109110,1478.0
47.82128000,-123.108860,1475.0
47.82128000,-123.108660,1472.0
47.82130000,-123.108340,1469.0
47.82132000,-123.108100,1467.0
47.82134000,-123.107730,1463.0
47.82135000,-123.107450,1458.0
47.82134000,-123.107050,1449.0
47.82132000,-123.106640,1444.0
47.82133000,-123.106420,1442.0
47.82133000,-123.106200,1440.0
47.82134000,-123.105960,1437.0
47.82138000,-123.105710,1435.0
47.82143000,-123.105460,1434.0
47.82148000,-123.105230,1433.0
47.82155000,-123.104990,1435.0
47.82160000,-123.104750,1434.0
47.82164000,-123.104600,1434.0
47.82164000,-123.104460,1432.0
47.82163000,-123.104100,1426.0
47.82162000,-123.103830,1420.0
47.82163000,-123.103540,1412.0
47.82164000,-123.103290,1405.0
47.82167000,-123.103070,1404.0
47.82174000,-123.102850,1401.0
47.82186000,-123.102730,1403.0
47.82198000,-123.102570,1404.0
47.82205000,-123.102310,1396.0
47.82215000,-123.102000,1389.0
47.82224000,-123.101580,1388.0
47.82230000,-123.101390,1388.0
47.82242000,-123.101020,1386.0
47.82245000,-123.100760,1382.0
47.82249000,-123.100400,1376.0
47.82253000,-123.100240,1374.0
47.82258000,-123.100060,1371.0
47.82262000,-123.099900,1368.0
47.82267000,-123.099770,1367.0
47.82272000,-123.099580,1363.0
47.82275000,-123.099420,1359.0
47.82279000,-123.099300,1358.0
47.82287000,-123.099110,1357.0
47.82298000,-123.098810,1356.0
47.82304000,-123.098670,1356.0
47.82306000,-123.098520,1353.0
47.82309000,-123.098340,1350.0
47.82311000,-123.098080,1344.0
47.82312000,-123.097810,1340.0
47.82313000,-123.097360,1330.0
47.82314000,-123.097200,1327.0
47.82317000,-123.097070,1326.0
47.82322000,-123.096920,1324.0
47.82331000,-123.096650,1323.0
47.82341000,-123.096490,1323.0
47.82347000,-123.096370,1323.0
47.82353000,-123.096190,1318.0
47.82360000,-123.096000,1313.0
47.82372000,-123.095560,1303.0
47.82382000,-123.095260,1302.0
47.82388000,-123.095110,1301.0
47.82394000,-123.094910,1299.0
47.82400000,-123.094700,1297.0
47.82406000,-123.094420,1292.0
47.82412000,-123.094290,1292.0
47.82417000,-123.094100,1289.0
47.82430000,-123.093810,1285.0
47.82440000,-123.093710,1286.0
47.82452000,-123.093560,1284.0
47.82469000,-123.093360,1280.0
47.82477000,-123.093240,1278.0
47.82490000,-123.093110,1278.0
47.82503000,-123.092830,1273.0
47.82511000,-123.092650,1269.0
47.82538000,-123.092300,1267.0
47.82548000,-123.092170,1266.0
47.82566000,-123.091950,1264.0
47.82575000,-123.091790,1263.0
47.82583000,-123.091640,1262.0
47.82599000,-123.091270,1258.0
47.82604000,-123.091190,1256.0
47.82606000,-123.091040,1253.0
47.82612000,-123.090510,1244.0
47.82612000,-123.090400,1243.0
47.82609000,-123.090270,1241.0
47.82603000,-123.090010,1237.0
47.82597000,-123.089860,1234.0
47.82586000,-123.089690,1231.0
47.82570000,-123.089640,1228.0
47.82552000,-123.089550,1226.0
47.82537000,-123.089370,1222.0
47.82525000,-123.089250,1219.0
47.82517000,-123.089090,1216.0
47.82514000,-123.088960,1213.0
47.82515000,-123.088750,1211.0
47.82516000,-123.088130,1203.0
47.82523000,-123.087870,1202.0
47.82532000,-123.087590,1200.0
47.82543000,-123.087410,1199.0
47.82559000,-123.087270,1197.0
47.82567000,-123.087230,1196.0
47.82573000,-123.087280,1197.0
47.82577000,-123.087360,1198.0
47.82583000,-123.087340,1198.0
47.82592000,-123.087220,1196.0
47.82601000,-123.087130,1196.0
47.82614000,-123.086980,1196.0
47.82628000,-123.086840,1194.0
47.82635000,-123.086720,1192.0
47.82660000,-123.086560,1188.0
47.82678000,-123.086460,1185.0
47.82689000,-123.086320,1182.0
47.82705000,-123.086040,1179.0
47.82709000,-123.085830,1178.0
47.82710000,-123.085720,1178.0
47.82706000,-123.085450,1176.0
47.82699000,-123.085180,1175.0
47.82698000,-123.084990,1175.0
47.82699000,-123.084720,1174.0
47.82707000,-123.084440,1168.0
47.82715000,-123.084160,1163.0
47.82720000,-123.083860,1159.0
47.82724000,-123.083640,1157.0
47.82726000,-123.083490,1155.0
47.82734000,-123.083390,1155.0
47.82743000,-123.083360,1157.0
47.82754000,-123.083340,1158.0
47.82763000,-123.083260,1157.0
47.82769000,-123.083010,1152.0
47.82777000,-123.082860,1150.0
47.82781000,-123.082710,1148.0
47.82785000,-123.082370,1145.0
47.82787000,-123.081670,1140.0
47.82785000,-123.081290,1134.0
47.82781000,-123.081040,1130.0
47.82780000,-123.080810,1128.0
47.82779000,-123.080670,1126.0
47.82777000,-123.080530,1124.0
47.82778000,-123.080200,1120.0
47.82780000,-123.080030,1118.0
47.82782000,-123.079880,1116.0
47.82789000,-123.079560,1115.0
47.82793000,-123.079300,1113.0
47.82794000,-123.079090,1109.0
47.82793000,-123.078930,1107.0
47.82786000,-123.078660,1101.0
47.82789000,-123.078380,1099.0
47.82791000,-123.078080,1097.0
47.82792000,-123.077840,1095.0
47.82791000,-123.077610,1093.0
47.82794000,-123.077400,1091.0
47.82796000,-123.076950,1087.0
47.82793000,-123.076790,1084.0
47.82788000,-123.076250,1076.0
47.82785000,-123.075770,1074.0
47.82783000,-123.075610,1072.0
47.82779000,-123.075480,1069.0
47.82776000,-123.075390,1067.0
47.82776000,-123.075140,1064.0
47.82774000,-123.074980,1061.0
47.82774000,-123.074690,1058.0
47.82772000,-123.074460,1056.0
47.82771000,-123.074180,1053.0
47.82768000,-123.073890,1048.0
47.82765000,-123.073740,1045.0
47.82759000,-123.073550,1041.0
47.82756000,-123.073350,1039.0
47.82753000,-123.073170,1037.0
47.82749000,-123.072810,1035.0
47.82745000,-123.072700,1033.0
47.82743000,-123.072440,1030.0
47.82744000,-123.072250,1026.0
47.82741000,-123.071790,1010.0
47.82740000,-123.071440,1002.0
47.82732000,-123.071110,999.0
47.82731000,-123.070850,1004.0
47.82727000,-123.070520,1006.0
47.82716000,-123.070310,1001.0
47.82715000,-123.070100,1001.0
47.82706000,-123.070110,998.0
47.82700000,-123.070180,996.0
47.82697000,-123.070270,995.0
47.82693000,-123.070390,993.0
47.82684000,-123.070450,989.0
47.82681000,-123.070320,990.0
47.82686000,-123.070150,992.0
47.82681000,-123.070100,991.0
47.82676000,-123.069880,990.0
47.82663000,-123.069550,984.0
47.82657000,-123.069340,981.0
47.82653000,-123.068970,979.0
